Name;InternalName;Title;Class;ImageURL;AttackRange;MoveSpeed;HP;HPperLevel;hpregen;hpregenperlevel;Armor;ArmorperLevel;AttackDamage;AttackDamageperLevel;attackspeed;attackspeedperlevel;Spellblock;spellblockperlevel;Prv_attack;Prv_defense;Prv_magic;Lore;Image_Full;Image_Loading;Image_Sprite;Spell_Q_Name;Spell_Q_Desc;Spell_Q_Icon;Spell_W_Name;Spell_W_Desc;Spell_W_Icon;Spell_E_Name;Spell_E_Desc;Spell_E_Icon;Spell_R_Name;Spell_R_Desc;Spell_R_Icon;Passive_Name;Passive_Desc;Passive_Icon
Dr. Mundo;DrMundo;the Madman of Zaun;Tank;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/DrMundo.png;125;345;640;103;7.0;0.5;32;4.5;61;2.5;0.67;3.3;29;2.3;5;7;6;"Utterly mad, tragically homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. Now a self-proclaimed physician, he was once a patient of Zaun's most infamous asylum. After ""curing"" the entire staff, Dr. Mundo established his practice in the empty wards that once treated him and began mimicking the highly unethical procedures he had so often experienced himself. With a full cabinet of medicines and zero medical knowledge, he now makes himself more monstrous with each injection and terrifies the hapless ""patients"" who wander near his office.";https://ddragon.leagueoflegends.com/cdn/img/champion/splash/DrMundo_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/DrMundo_0.jpg;champion0.png;Infected Bonesaw;Dr. Mundo throws an infected bonesaw, dealing damage to the first enemy hit based on their current health and slowing them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/DrMundoQ.png;Heart Zapper;Dr. Mundo electrocutes himself, dealing persistent damage to nearby enemies and storing a portion of damage he takes. At the end of the duration or on Recast, Dr. Mundo deals a burst of damage to nearby enemies. If the burst hit an enemy, he heals a percentage of the stored damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/DrMundoW.png;Blunt Force Trauma;Passive - Dr. Mundo gains bonus Attack Damage, increasing based on his max Health.<br><br>Active - Dr. Mundo slams his “medical” bag into an enemy, dealing additional damage based on his missing Health. If the enemy dies they are swatted away, dealing damage to enemies they pass through.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/DrMundoE.png;Maximum Dosage;Dr. Mundo pumps himself with chemicals, instantly healing a percent of his missing Health. He then gains Move Speed and regenerates a portion of his maximum Health over a long duration.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/DrMundoR.png;Goes Where He Pleases;Dr. Mundo resists the first Immobilizing effect that hits him, instead losing Health and dropping a chemical cannister nearby. Dr. Mundo can pick it up by walking over it, restoring Health and reducing this Ability's Cooldown.<br><br>Dr. Mundo also has significantly increased Health regeneration.<br>;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/DrMundo_P.png
Ekko;Ekko;the Boy Who Shattered Time;Assassin;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Ekko.png;125;340;655;99;9.0;0.9;32;4.2;58;3.0;0.688;3.3;32;2.05;5;3;7;A prodigy from the rough streets of Zaun, Ekko is able to manipulate time to twist any situation to his advantage. He uses his own invention, the Z-Drive, to explore the branching possibilities of reality, crafting the perfect moment to seemingly achieve the impossible the first time, every time. Though Ekko revels in this freedom, when there's a threat to those he cares about, he and the Firelights will do anything to defend them.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ekko_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ekko_0.jpg;champion0.png;Timewinder;Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EkkoQ.png;Parallel Convergence;Ekko's basic attacks deal bonus magic damage to low health enemies. He can cast Parallel Convergence to split the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and stuns enemies by suspending them in time.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EkkoW.png;Phase Dive;Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EkkoE.png;Chronobreak;Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EkkoR.png;Z-Drive Resonance;Every third attack or damaging spell on the same target deals bonus magic damage, and grants Ekko a burst of speed if the target is a champion.<br><br>;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Ekko_P.png
Elise;Elise;the Spider Queen;Assassin;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Elise.png;550;330;620;109;5.5;0.6;30;4.5;55;3.0;0.625;1.75;30;1.3;6;5;7;Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly inhuman—a spider-like creature, drawing unsuspecting prey into her web. To maintain her eternal youth, Elise now prefers to feed upon the naive and the faithless, and there are few who can resist her seductions.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Elise_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Elise_0.jpg;champion1.png;Neurotoxin / Venomous Bite;Human Form: Deals damage based upon how high the target's Health is.<br><br>Spider Form: Lunges at an enemy and deals damage based upon how low their Health is.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EliseHumanQ.png;Volatile Spiderling / Skittering Frenzy;Human Form: Releases a venom-gorged Spiderling that explodes when it nears a target.<br><br>Spider Form: Elise and her Spiderlings gain Attack Speed.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EliseHumanW.png;Cocoon / Rappel;Human Form: Stuns the first enemy unit hit and reveals them if they are not stealthed.<br><br>Spider Form: Elise and her Spiderlings ascend into the air and then descend upon target enemy. After descending on an enemy target, Elise's bonus damage and healing from Spider Queen is increased.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EliseHumanE.png;Spider Form;Transforms into a menacing spider, reducing her attack range in exchange for Move Speed, new abilities, and a Spiderling swarm that will attack her foes.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EliseR.png;Spider Queen;Human Form: When Elise's abilities hit an enemy, she gains a dormant Spiderling.<br><br>Spider Form: Basic attacks deal bonus magic damage and restore health to Elise.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/ElisePassive.png
Evelynn;Evelynn;Agony's Embrace;Assassin;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Evelynn.png;125;335;642;98;8.5;0.75;37;4.7;61;3.0;0.667;2.1;32;2.05;4;2;7;Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim to unspeakable torment, gratifying herself with their pain. To the demon, these liaisons are innocent flings. To the rest of Runeterra, they are ghoulish tales of lust gone awry and horrific reminders of the cost of wanton desire.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Evelynn_0.jpg;champion1.png;Hate Spike;Evelynn strikes out with her Lasher, dealing damage to the first unit hit. Then, Evelynn can shoot a line of spikes at nearby foes a few times.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EvelynnQ.png;Allure;Evelynn curses her target, causing her next attack or spell after a delay to charm her target and reduce their magic resist.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EvelynnW.png;Whiplash;Evelynn whips her target with her Lasher, dealing damage. She then gains Move Speed for a short duration.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EvelynnE.png;Last Caress;Evelynn briefly goes untargetable and decimates the area in front of her before warping backwards a long distance.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EvelynnR.png;Demon Shade;When out of combat, Evelynn enters Demon Shade. Demon Shade heals Evelynn when she is low on health and grants Camouflage after level 6.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Evelynn_Passive.png
Ezreal;Ezreal;the Prodigal Explorer;Marksman;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Ezreal.png;550;325;600;102;4.0;0.65;24;4.2;60;3.25;0.625;2.5;30;1.3;7;2;6;A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way out of any situation, relying partially on his wits, but mostly on his mystical Shuriman gauntlet, which he uses to unleash devastating arcane blasts. One thing is for sure—whenever Ezreal is around, trouble isn't too far behind. Or ahead. Probably everywhere.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ezreal_0.jpg;champion1.png;Mystic Shot;Ezreal fires a damaging bolt of energy which reduces all of his cooldowns slightly if it strikes an enemy unit.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EzrealQ.png;Essence Flux;Ezreal fires an orb that sticks to the first champion or objective hit. If Ezreal hits an enemy with the orb, it detonates and deals damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EzrealW.png;Arcane Shift;Ezreal teleports to a target nearby location and fires a homing bolt which strikes the nearest enemy unit. Prioritizes enemies stuck with Essence Flux.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EzrealE.png;Trueshot Barrage;Ezreal winds up before firing a powerful barrage of energy that deals massive damage to each unit it passes through (damage is reduced for minions and non-epic monsters).;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/EzrealR.png;Rising Spell Force;Ezreal gains increasing Attack Speed each time he successfully hits a spell, stacking up to 5 times.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Ezreal_RisingSpellForce.png
Fiddlesticks;Fiddlesticks;the Ancient Fear;Mage;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Fiddlesticks.png;480;335;650;106;5.5;0.6;34;4.7;55;2.65;0.625;2.11;30;1.3;2;3;9;Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe, the haggard, makeshift creature reaps fear itself, shattering the minds of those unlucky enough to survive in its wake. Beware the sounding of the crow, or the whispering of the shape that appears <i>almost</i> human… Fiddlesticks has returned.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Fiddlesticks_0.jpg;champion1.png;Terrify;Fiddlesticks damaging enemies with spells while unseen or targeting an enemy with Terrify's activation strikes a target unit with fear, causing it to flee in terror for a duration.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FiddleSticksQ.png;Bountiful Harvest;Fiddlesticks drains health from nearby enemies, dealing bonus execute damage at the end of the duration.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FiddleSticksW.png;Reap;Fiddlesticks slashes an area with its scythe, slowing all enemies hit and silencing enemies hit in the center of the slash.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FiddleSticksE.png;Crowstorm;A murder of crows flock wildly around Fiddlesticks, dealing damage per second to all enemy units in the area.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FiddleSticksR.png;A Harmless Scarecrow;Fiddlesticks' trinket is replaced by scarecrow effigies.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/FiddlesticksP.png
Fiora;Fiora;the Grand Duelist;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Fiora.png;150;345;620;99;8.5;0.55;33;4.7;66;3.3;0.69;3.2;32;2.05;10;4;2;The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in the wake of a scandal that nearly destroyed them. House Laurent's reputation was sundered, but Fiora bends her every effort to restore her family's honor and return them to their rightful place among the great and good of Demacia.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Fiora_0.jpg;champion1.png;Lunge;Fiora lunges in a direction and stabs a nearby enemy, dealing physical damage and applying on-hit effects.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FioraQ.png;Riposte;Fiora parries all incoming damage and disables for a short time, then stabs in a direction. This stab slows the first enemy champion hit, or stuns them if Fiora blocked an immobilizing effect with this ability.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FioraW.png;Bladework;Fiora has increased attack speed for the next two attacks. The first attack slows the target, and the second attack will critically strike.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FioraE.png;Grand Challenge;Fiora reveals all four Vitals on an enemy champion and gains Move Speed while near them. If Fiora hits all four Vitals or if the target dies after she has hit at least one, Fiora and her allies in the area are healed over the next few seconds.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FioraR.png;Duelist's Dance;Fiora has revealed a <keywordMajor>Vital</keywordMajor> on this Champion. If she hits the <keywordMajor>Vital</keywordMajor>, she <healing>restores Health</healing> and gains <speed>Move Speed</speed>.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Fiora_P.png
Fizz;Fizz;the Tidal Trickster;Assassin;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Fizz.png;175;335;640;106;8.0;0.7;26;4.6;58;3.0;0.658;3.1;32;2.05;6;4;7;Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales of those who have underestimated this slippery character. Often mistaken for some manner of capricious ocean spirit, he seems able to command the beasts of the deep, and delights in confounding his allies and enemies alike.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Fizz_0.jpg;champion1.png;Urchin Strike;Fizz dashes through his target, dealing magic damage and applying on hit effects.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FizzQ.png;Seastone Trident;Fizz's attacks bleed his enemies, dealing magic damage over several seconds. Fizz can empower his next attack to deal bonus damage and empower his further attacks for a short time.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FizzW.png;Playful / Trickster;Fizz hops into the air, landing gracefully upon his spear and becoming untargetable. From this position, Fizz can either slam the ground or choose to jump again before smashing back down.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FizzE.png;Chum the Waters;Fizz tosses a fish in a direction that attaches to any champion that touches it, slowing the target. After a short delay, a shark erupts from the ground, knocking up the target and knocking any nearby enemies aside. All enemies hit are dealt magic damage and slowed.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FizzR.png;Nimble Fighter;Fizz can move through units and takes a flat amount of reduced damage from all sources;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Fizz_P.png
Galio;Galio;the Colossus;Tank;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Galio.png;150;340;600;126;8.0;0.8;24;4.7;59;3.5;0.625;1.5;32;2.05;1;10;6;Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the most of his time, savoring the thrill of a fight and the rare honor of defending his countrymen. But his triumphs are always bittersweet, for the magic he destroys is also his source of reanimation, and each victory leaves him dormant once again.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Galio_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Galio_0.jpg;champion1.png;Winds of War;Galio fires two windblasts that converge into a large tornado that deals damage over time.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GalioQ.png;Shield of Durand;Galio charges a defensive stance, moving slowly. Upon releasing the charge, Galio will taunt and damage nearby enemies.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GalioW.png;Justice Punch;Galio will briefly step back and charge, knocking up the first enemy champion he encounters.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GalioE.png;Hero's Entrance;Galio designates an ally's position as his landing spot, granting all allies in the area a magic shield. After a delay Galio smashes down location, knocking up nearby enemies.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GalioR.png;Colossal Smash;Every few seconds, Galio's next basic attack deals bonus magic damage in an area.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Galio_Passive.png
Gangplank;Gangplank;the Saltwater Scourge;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Gangplank.png;125;345;630;114;6.0;0.6;31;4.7;64;4.2;0.658;3.2;32;2.05;7;6;4;As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see Bilgewater bathed in blood once more before letting someone else take it—and now with pistol, cutlass, and barrels of gunpowder, he is determined to reclaim what he has lost.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gangplank_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Gangplank_0.jpg;champion1.png;Parrrley;Shoots target, plundering Gold for each enemy unit killed.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GangplankQWrapper.png;Remove Scurvy;Eats citrus to cure crowd control effects and restore Health.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GangplankW.png;Powder Keg;Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GangplankE.png;Cannon Barrage;Gangplank signals his ship to bombard an area, slowing and damaging enemies.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GangplankR.png;Trial by Fire;Every few seconds, Gangplank's melee strike will set his opponent on fire.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Gangplank_Passive.png
Garen;Garen;The Might of Demacia;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Garen.png;175;340;690;98;8.0;0.5;38;4.2;69;4.5;0.625;3.65;32;1.55;7;7;1;A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its ideals. Clad in magic-resistant armor and bearing a mighty broadsword, Garen stands ready to confront mages and sorcerers on the field of battle, in a veritable whirlwind of righteous steel.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Garen_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Garen_0.jpg;champion1.png;Decisive Strike;Garen gains a burst of Move Speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GarenQ.png;Courage;Garen passively increases his Armor and Magic Resist by killing enemies. He may also activate this ability to give him a shield and tenacity for a brief moment followed by a lesser amount of damage reduction for a longer duration.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GarenW.png;Judgment;Garen rapidly spins his sword around his body, dealing physical damage to nearby enemies.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GarenE.png;Demacian Justice;Garen calls upon the might of Demacia to attempt to execute an enemy champion.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GarenR.png;Perseverance;If Garen has not recently been struck by damage or enemy abilities, he regenerates a percentage of his total health each second.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Garen_Passive.png
Gnar;Gnar;the Missing Link;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Gnar.png;175;335;540;79;4.5;1.25;32;3.7;60;3.2;0.625;6.0;30;1.3;6;5;5;Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed world he sees as exotic and wondrous. Delighted by danger, Gnar flings whatever he can at his enemies, be it his bonetooth boomerang, or a nearby building.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gnar_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Gnar_0.jpg;champion1.png;Boomerang Throw / Boulder Toss;Gnar throws a boomerang that damages and slows enemies it hits before returning to him. If he catches the boomerang its cooldown is reduced.<br><br>Mega Gnar instead throws a boulder that stops on the first unit hit, damaging and slowing everything nearby. It can then be picked up to reduce the cooldown.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GnarQ.png;Hyper / Wallop;Gnar's attacks and spells hype him up, dealing bonus damage and granting him Move Speed.<br><br>Mega Gnar is too enraged to be hyper and instead can rear up on his hind legs and smash down on the area in front of him, stunning enemies in an area.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GnarW.png;Hop / Crunch;Gnar leaps to a location and bounces off the head of any unit he lands on, traveling further.<br><br>Mega Gnar is too large to bounce and instead lands with earth-shattering force, dealing damage in an area around him.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GnarE.png;GNAR!;Mega Gnar throws everything around him in a chosen direction, dealing damage and slowing them.  Any enemy that hits a wall is stunned and takes bonus damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GnarR.png;Rage Gene;While in combat Gnar generates Rage. At maximum Rage his next ability will transform him into Mega Gnar, granting increased survivability and access to new spells.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Gnar_Passive.png
Gragas;Gragas;the Rabble Rouser;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Gragas.png;125;330;640;115;5.5;0.5;38;5.0;64;3.5;0.675;2.05;32;2.05;4;7;6;Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster who's always on the lookout for new ways to raise everyone's spirits. Hailing from parts unknown, he searches for ingredients among the unblemished wastes of the Freljord to help him perfect his latest concoction. He is impulsive, headstrong, and renowned for the brawls he starts, which often end in all-night parties and widespread property damage. Any appearance from Gragas must surely foreshadow merriment and destruction—in that order.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gragas_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Gragas_0.jpg;champion1.png;Barrel Roll;Gragas rolls his cask to a location, which can be activated to explode or will explode on its own after 4 seconds. The potency of the explosion increases over time. Enemies struck by the blast have their Move Speed slowed.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GragasQ.png;Drunken Rage;Gragas samples his latest brew for 1 second. After finishing, he becomes boisterous and belligerent, dealing magic damage to all nearby enemies on his next basic attack and reducing damage received.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GragasW.png;Body Slam;Gragas charges to a location and collides with the first enemy unit he comes across, dealing damage to all nearby enemy units and stunning them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GragasE.png;Explosive Cask;Gragas hurls his cask to a location, dealing damage and knocking back enemies caught in the blast radius.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GragasR.png;Happy Hour;Gragas periodically heals upon using a skill.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/GragasPassiveHeal.png
Graves;Graves;the Outlaw;Marksman;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Graves.png;425;340;625;106;8.0;0.7;33;4.6;68;4.0;0.475;3.0;30;1.3;8;5;3;Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his double-barreled shotgun Destiny. In recent years, he has reconciled a troubled partnership with Twisted Fate, and together they have prospered once more in the turmoil of Bilgewater's criminal underbelly.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Graves_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Graves_0.jpg;champion1.png;End of the Line;Graves fires an explosive shell that detonates after 1 second, or after colliding with terrain.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GravesQLineSpell.png;Smoke Screen;Graves fires a smoke canister at the target area creating a cloud of smoke that reduces sight range. Enemies caught in the initial impact are dealt magic damage and have their Move Speed reduced briefly.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GravesSmokeGrenade.png;Quickdraw;Graves dashes forward gaining an Armor and Magic Resist boost for several seconds. If Graves dashes towards an enemy champion, gain two stacks of True Grit instead. Hitting enemies with basic attacks lowers the cooldown of this skill and refreshes the resistance boost.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GravesMove.png;Collateral Damage;Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GravesChargeShot.png;New Destiny;Graves' shotgun has some unique properties. He must reload when he runs out of ammo. Attacks fire 4 bullets, which cannot pass through units. Non-champions struck by multiple bullets are knocked back.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/GravesTrueGrit.png
Gwen;Gwen;The Hallowed Seamstress;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Gwen.png;150;340;620;115;9.0;0.9;39;4.9;63;3.0;0.69;2.25;32;2.05;7;4;5;A former doll transformed and brought to life by magic, Gwen wields the very tools that once created her. She carries the weight of her maker's love with every step, taking nothing for granted. At her command is the Hallowed Mist, an ancient and protective magic that has blessed Gwen's scissors, needles, and sewing thread. So much is new to her, but Gwen remains joyfully determined to fight for the good that survives in a broken world.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Gwen_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Gwen_0.jpg;champion1.png;Snip Snip!;Gwen snips her scissors in a cone up to 6 times dealing magic damage. Gwen deals true damage to units in the center and applies her passive to them on each snip.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GwenQ.png;Hallowed Mist;Gwen summons mist that protects her from enemies outside of it. She can only be targeted by enemies who enter the mist.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GwenW.png;Skip 'n Slash;Gwen dashes a short distance then gains Attack Speed, attack range, and magic damage <OnHit>On-Hit</OnHit> for a few seconds. If she hits an enemy during that time, this Ability's cooldown is partially refunded. ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GwenE.png;Needlework;Gwen hurls a needle that slows enemies hit, deals magic damage, and applies A Thousand Cuts to champions hit. <br><br>This ability can be cast up to two more times, with each cast throwing additional needles and dealing more damage. ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GwenR.png;A Thousand Cuts;Gwen's attacks deal bonus magic damage based on the targets health. She heals for a portion of the damage dealt to champions by this effect. ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Gwen_Passive.png
